category,subCategory,organization,addressLine1,addressLine2,addressLine3,phoneNumber,url
Healthcare and Wellness,,Chalmers Hospital,Clunie Street,Banff,AB45 1JA,01261 812 567,http://www.nhsgrampian.org
Supermarket and Convenience,,Scotmid,4 Lusylaw Road,Banff,AB45 1EW,01261 818 264,http://www.scotmid.co.uk
Hair and Beauty,Hairdressers,Elegant,41 High Street,Banff,AB45 1AN,01261 815 494,
Hair and Beauty,Hairdressers,Salon 45,45 High Street,Banff,AB45 1AN,01261 812 021,
Food and Drink,Pubs,Railway Inn,96 North Castle Street,Banff,AB45 1JJ,01261 812 251,
Supermarket and Convenience,,The Co-operative Food,Bridge Road,Banff,AB45 1HE,01261 815 005,http://www.co-operative.coop/food
Charity Shop,,B.A.A.R.K.,43 Low Street,Banff,AB45 1AU,01261 815 373,http://baarkfoundation.org
Hair and Beauty,Hairdressers,Be Beautiful,4 Low Street,Banff,AB45 1AU,01261 815 779,
Pet Services,,The Banff Pet Shop,7 Low Street,Banff,AB45 1AU,01261 815 420,
Pet Services,Dog grooming,Happy Hounds,3 Low Street,Banff,AB45 1AU,07854 716 166,
Food and Drink,Pubs,The Fife Arms,12 Low Street,Banff,AB45 1AS,01261 818 882,http://fiferestaurant.co.uk/
Food and Drink,Fast Food,Kelly's Chips,9-11 Low Street,Banff,AB45 1AU,01261 819 966,
Food and Drink,Fast Food,Nazma Tandoori Takeaway,13 Low Street,Banff,AB45 1AU,01261 818 829,http://banffnazma.co.uk/
Professional Services and Banking,Solicitors,Wilson Defence,17 Low Street,Banff,AB45 1AU,01261 819 831,
Other,,Ladbrokes,16 Low Street,Banff,AB45 1AS,0800 030 4496,http://www.ladbrokes.co.uk
Shopping and Retail,,Tuleni,24 Low Street,Banff,AB45 1AS,01261 815 523,http://tulenibanff.co.uk/ladiesfashiontulenibanff.html
Food and Drink,Fast Food,Happy Palace,19 Low Street,Banff,AB45 1AU,01261 815 816,http://www.happy-palace.co.uk
Shopping and Retail,,Love for Flowers,26 Low Street,Banff,AB45 1AS,01261 498 040,
Food and Drink,Fast Food,Pyramids Take Away,53 Low Street,Banff,AB45 1AU,01261 815 311,
Accommodation and Tourism,Travel Agents,Ritchie Travel,47 Low Street,Banff,AB45 1AU,01261 815 671,
Accommodation and Tourism,Hotels,Carmelite House Hotel,30 Low Street,Banff,AB45 1AY,01261 812 152,http://www.carmelitehousehotel.co.uk/
Professional Services and Banking,Banks,Bank Of Scotland,29 Low Street,Banff,AB45 1AU,01261 812 150,http://www.bankofscotland.co.uk
Hair and Beauty,Tanning,The Tanning & Beauty Company,46 Bridge Street,Banff,AB45 1HB,01261 818 283,
Shopping and Retail,Gifts,Oldanu,32 Bridge Street,Banff,AB45 1HB,,
Household Goods and Services,Carpets,Bridge Carpets,28 Bridge Street,Banff,AB45 1HB,01261 812 266,
Food and Drink,Full service,Indian Garden,27 Bridge Street,Banff,AB45 1HD,01261 812 277,http://www.indiangardenbanff.co.uk
Supermarket and Convenience,,Tesco Metro,Carmelite Street,Banff,AB45 1AF,03456 779 028,http://www.tesco.com
Transport and Motorcare,Garages,ATS Euromaster,Carmelite Street,Banff,AB45 1AF,01261 812 234,http://www.atseuromaster.co.uk
Household Goods and Services,Fixtures and Fittings,Grampian Kitchens & Bathrooms,24 Carmelite Street,Banff,AB45 1AF,01261 812 116,http://www.grampiankitchens.co.uk/
Food and Drink,Pubs,The Market Arms,5 High Shore,Banff,AB45 1DB,01261 812 261,
Shopping and Retail,,Bargainland,Carmelite Street,Banff,AB45 1AF,,
Professional Services and Banking,Accountants,SBP Accountants & Tax Advisers,9 Carmelite Street,Banff,AB45 1AF,01261 818 521,http://www.sbp-ca.co.uk
Hair and Beauty,,My Place,4-6 Carmelite Street,Banff,AB45 1AF,01261 819 999,
Charity Shop,,Daniels Place,57 Low Street,Banff,AB45 1AU,,
Food and Drink,Pubs,The Broken Fiddle,9 Strait Path,Banff,AB45 1AD,01261 498 647,
Hair and Beauty,Hairdressers,Tony Wright,11-13 Strait Path,Banff,AB45 1AD,01261 815 364,http://www.tonywrighthairdressing.co.uk
